time,f_solid,interface_pos,interface_speed
4.000000000000000083e-02,4.905031295488037624e-01,2.452515647744018779e+01,0.000000000000000000e+00
8.000000000000000167e-02,4.908660857296480717e-01,2.454330428648240314e+01,4.536952260553839267e-01
1.199999999999999956e-01,4.912871955550011105e-01,2.456435977775005597e+01,5.263872816913206520e-01
1.600000000000000033e-01,4.917613609387709306e-01,2.458806804693854531e+01,5.927067297122334821e-01
2.000000000000000111e-01,4.922831923658500530e-01,2.461415961829250065e+01,6.522892838488836276e-01
2.400000000000000189e-01,4.928477965418882611e-01,2.464238982709441217e+01,7.057552200477879012e-01
2.800000000000000266e-01,4.934508677513184671e-01,2.467254338756592347e+01,7.538390117877824537e-01
3.200000000000000067e-01,4.940886014166299689e-01,2.470443007083149922e+01,7.971670816393938708e-01
3.599999999999999867e-01,4.947575890404863341e-01,2.473787945202431615e+01,8.362345298204232336e-01
3.999999999999999667e-01,4.954547371725651628e-01,2.477273685862826014e+01,8.714351650985996400e-01
4.399999999999999467e-01,4.961772161125510006e-01,2.480886080562754969e+01,9.030986749822389470e-01
4.799999999999999267e-01,4.969224333896472556e-01,2.484612166948236478e+01,9.315215963703771251e-01
5.199999999999999067e-01,4.976880248125354900e-01,2.488440124062677583e+01,9.569892786102762727e-01
5.599999999999999423e-01,4.984718561674619242e-01,2.492359280837309754e+01,9.797891936580427341e-01
5.999999999999999778e-01,4.992720296062190810e-01,2.496360148031095250e+01,1.000216798446373900e+00
6.400000000000000133e-01,5.000868898866512868e-01,2.500434449433256390e+01,1.018575350540285029e+00
6.800000000000000488e-01,5.009150267772223275e-01,2.504575133886111260e+01,1.035171113213717575e+00
7.200000000000000844e-01,5.017552710749352274e-01,2.508776355374676470e+01,1.050305372141302485e+00
7.600000000000001199e-01,5.026066827786533908e-01,2.513033413893267110e+01,1.064264629647659888e+00
8.000000000000001554e-01,5.034685309714459489e-01,2.517342654857229789e+01,1.077310240990669854e+00
8.400000000000001910e-01,5.043402658632808455e-01,2.521701329316404028e+01,1.089668614793559698e+00
8.800000000000002265e-01,5.052214842091571345e-01,2.526107421045785628e+01,1.101522932345400108e+00
9.200000000000002620e-01,5.061118899390673054e-01,2.530559449695336127e+01,1.113007162387624760e+00
9.600000000000002975e-01,5.070112523121267367e-01,2.535056261560633573e+01,1.124202966324361341e+00
1.000000000000000222e+00,5.079193642315261714e-01,2.539596821157631013e+01,1.135139899249359985e+00
1.040000000000000258e+00,5.088360035139225523e-01,2.544180017569612673e+01,1.145799102995415097e+00
1.080000000000000293e+00,5.097608998689857618e-01,2.548804499344928942e+01,1.156120443829067312e+00
1.120000000000000329e+00,5.106937100794760598e-01,2.553468550397380099e+01,1.166012763112789230e+00
1.160000000000000364e+00,5.116340033548358868e-01,2.558170016774179700e+01,1.175366594199900305e+00
1.200000000000000400e+00,5.125812580623267944e-01,2.562906290311634194e+01,1.184068384363623494e+00
1.240000000000000435e+00,5.135348700602103689e-01,2.567674350301051689e+01,1.192014997354373662e+00
1.280000000000000471e+00,5.144941717558811911e-01,2.572470858779406200e+01,1.199127119588627721e+00
1.320000000000000506e+00,5.154584599185911831e-01,2.577292299592956226e+01,1.205360203387506601e+00
1.360000000000000542e+00,5.164270293414088275e-01,2.582135146707043916e+01,1.210711778521922355e+00
1.400000000000000577e+00,5.173992088114458543e-01,2.586996044057228872e+01,1.215224337546239042e+00
1.440000000000000613e+00,5.183743956088211480e-01,2.591871978044105518e+01,1.218983496719161508e+00
1.480000000000000648e+00,5.193520849480934842e-01,2.596760424740467599e+01,1.222111674090520239e+00
1.520000000000000684e+00,5.203318913649197519e-01,2.601659456824598848e+01,1.224758021032812394e+00
1.560000000000000719e+00,5.213135599420372079e-01,2.606567799710186151e+01,1.227085721396825591e+00
1.600000000000000755e+00,5.222969663364825932e-01,2.611484831682413343e+01,1.229257993056798171e+00
1.640000000000000790e+00,5.232821056833326656e-01,2.616410528416663439e+01,1.231424183562523922e+00
1.680000000000000826e+00,5.242690714983080369e-01,2.621345357491540184e+01,1.233707268719186345e+00
1.720000000000000862e+00,5.252580265996922293e-01,2.626290132998461146e+01,1.236193876730240504e+00
1.760000000000000897e+00,5.262491687665905582e-01,2.631245843832952858e+01,1.238927708622927781e+00
1.800000000000000933e+00,5.272426943131862664e-01,2.636213471565931243e+01,1.241906933244596445e+00
1.840000000000000968e+00,5.282387629655395100e-01,2.641193814827697750e+01,1.245085815441626664e+00
1.880000000000001004e+00,5.292374673591306866e-01,2.646187336795653167e+01,1.248380491988854146e+00
1.920000000000001039e+00,5.302388101169993595e-01,2.651194050584996731e+01,1.251678447335891065e+00
1.960000000000001075e+00,5.312426908171533624e-01,2.656213454085767012e+01,1.254850875192570214e+00
2.000000000000000888e+00,5.322489042389676461e-01,2.661244521194838342e+01,1.257766777267832481e+00
2.040000000000000924e+00,5.332571501564403738e-01,2.666285750782201802e+01,1.260307396840865124e+00
2.080000000000000959e+00,5.342670537307986356e-01,2.671335268653993467e+01,1.262379467947916112e+00
2.120000000000000995e+00,5.352781943909045159e-01,2.676390971954522513e+01,1.263925825132261593e+00
2.160000000000001030e+00,5.362901401348769692e-01,2.681450700674384890e+01,1.264932179965594372e+00
2.200000000000001066e+00,5.373024835776510910e-01,2.686512417888255300e+01,1.265429303467602296e+00
2.240000000000001101e+00,5.383148758945840440e-01,2.691574379472920242e+01,1.265490396166235598e+00
2.280000000000001137e+00,5.393270550886174464e-01,2.696635275443087210e+01,1.265223992541741893e+00
2.320000000000001172e+00,5.403388656845755644e-01,2.701694328422877689e+01,1.264763244947619825e+00
2.360000000000001208e+00,5.413502679211376067e-01,2.706751339605687789e+01,1.264252795702525134e+00
2.400000000000001243e+00,5.423613356327946500e-01,2.711806678163973316e+01,1.263834639571381757e+00
2.440000000000001279e+00,5.433722431570463529e-01,2.716861215785231565e+01,1.263634405314562059e+00
