element_number,width,height,area,mi
0,2.000000,1.000000,2.000000,0.166667
1,2.000000,1.000000,2.000000,0.166667
2,2.000000,1.000000,2.000000,0.166667
3,2.000000,1.000000,2.000000,0.166667
4,2.000000,1.000000,2.000000,0.166667
5,2.000000,1.000000,2.000000,0.166667
6,2.000000,1.000000,2.000000,0.166667
7,2.000000,1.000000,2.000000,0.166667
8,2.000000,1.000000,2.000000,0.166667
9,2.000000,1.000000,2.000000,0.166667
10,2.000000,1.000000,2.000000,0.166667
11,2.000000,1.000000,2.000000,0.166667
12,2.000000,1.000000,2.000000,0.166667
13,2.000000,1.000000,2.000000,0.166667
14,2.000000,1.000000,2.000000,0.166667
