node_number,x,y
0,1.000000,1.000000
1,1.000000,2.000000
2,1.000000,3.000000
3,1.000000,4.000000
4,1.000000,5.000000
5,1.000000,6.000000
6,1.000000,7.000000
7,3.000000,1.000000
8,3.000000,2.000000
9,3.000000,3.000000
10,3.000000,4.000000
11,3.000000,5.000000
12,3.000000,6.000000
13,3.000000,7.000000
14,5.000000,6.000000
15,5.000000,7.000000
16,7.000000,6.000000
17,7.000000,7.000000
18,9.000000,1.000000
19,9.000000,2.000000
20,9.000000,3.000000
21,9.000000,4.000000
22,9.000000,5.000000
23,9.000000,6.000000
24,9.000000,7.000000
25,11.000000,1.000000
26,11.000000,2.000000
27,11.000000,3.000000
28,11.000000,4.000000
29,11.000000,5.000000
30,11.000000,6.000000
31,11.000000,7.000000
