time,f_solid,interface_pos,interface_speed
4.000000000000000083e-02,5.013019721261736672e-01,4.986980278738263195e+01,0.000000000000000000e+00
8.000000000000000167e-02,5.026181582767362821e-01,4.973818417232637046e+01,-3.290465376406537246e+00
1.199999999999999956e-01,5.039422480492418144e-01,4.960577519507582167e+01,-3.310224431263719680e+00
1.600000000000000033e-01,5.052674921763136151e-01,4.947325078236863760e+01,-3.313110317679601735e+00
2.000000000000000111e-01,5.065870236903491364e-01,4.934129763096508015e+01,-3.298828785088936399e+00
2.400000000000000189e-01,5.078941716276665908e-01,4.921058283723333915e+01,-3.267869843293524923e+00
2.800000000000000266e-01,5.091827398024814100e-01,4.908172601975186211e+01,-3.221420437036925932e+00
3.200000000000000067e-01,5.104472298264924879e-01,4.895527701735075254e+01,-3.161225060027739175e+00
3.599999999999999867e-01,5.116829966390332718e-01,4.883170033609667371e+01,-3.089417031351970877e+00
3.999999999999999667e-01,5.128863342284598614e-01,4.871136657715400986e+01,-3.008343973566596219e+00
4.399999999999999467e-01,5.140544971825377063e-01,4.859455028174622981e+01,-2.920407385194501160e+00
4.799999999999999267e-01,5.151856691472513905e-01,4.848143308527485829e+01,-2.827929911784288208e+00
5.199999999999999067e-01,5.162788919426045675e-01,4.837211080573954547e+01,-2.733056988382820407e+00
5.599999999999999423e-01,5.173339693431772135e-01,4.826660306568228265e+01,-2.637693501431570553e+00
5.999999999999999778e-01,5.183513580761961448e-01,4.816486419238038508e+01,-2.543471832547439249e+00
6.400000000000000133e-01,5.193320561817046377e-01,4.806679438182953135e+01,-2.451745263771343275e+00
6.800000000000000488e-01,5.202774961652314456e-01,4.797225038347685455e+01,-2.363599958816919866e+00
7.200000000000000844e-01,5.211894478063273661e-01,4.788105521936726205e+01,-2.279879102739812424e+00
7.600000000000001199e-01,5.220699333225021777e-01,4.779300666774977913e+01,-2.201213790437073214e+00
8.000000000000001554e-01,5.229211559243374108e-01,4.770788440756626159e+01,-2.128056504587938491e+00
8.400000000000001910e-01,5.237454416246621891e-01,4.762545583753378509e+01,-2.060714250811912507e+00
8.800000000000002265e-01,5.245451934139483408e-01,4.754548065860516459e+01,-1.999379473215512348e+00
9.200000000000002620e-01,5.253228564947037826e-01,4.746771435052962573e+01,-1.944157701888471479e+00
9.600000000000002975e-01,5.260808930879904421e-01,4.739191069120095534e+01,-1.895091483216759798e+00
1.000000000000000222e+00,5.268217653058674399e-01,4.731782346941326267e+01,-1.852180544692316744e+00
1.040000000000000258e+00,5.275479246611937123e-01,4.724520753388063099e+01,-1.815398388315792033e+00
