time,thickness_phi_pm0.8
4.000000000000000083e-02,9.142625477844994464e-01
8.000000000000000167e-02,1.183686934781178479e+00
1.199999999999999956e-01,1.530919801353416432e+00
1.600000000000000033e-01,1.756973968076348314e+00
2.000000000000000111e-01,1.904822539517681435e+00
2.400000000000000189e-01,2.012326955010269813e+00
2.800000000000000266e-01,2.095611194332537508e+00
3.200000000000000067e-01,2.162704029489123769e+00
3.599999999999999867e-01,2.218072162241725209e+00
3.999999999999999667e-01,2.264423380934921681e+00
4.399999999999999467e-01,2.303519438005345421e+00
4.799999999999999267e-01,2.336578313682089458e+00
5.199999999999999067e-01,2.364488517052368621e+00
5.599999999999999423e-01,2.387930552594600186e+00
5.999999999999999778e-01,2.474421067096212568e+00
6.400000000000000133e-01,2.566854545059310766e+00
6.800000000000000488e-01,2.637538403664102304e+00
7.200000000000000844e-01,2.690821679805463162e+00
7.600000000000001199e-01,2.729757812067262535e+00
8.000000000000001554e-01,2.756556492328613217e+00
8.400000000000001910e-01,2.772859100724058834e+00
8.800000000000002265e-01,2.779913056324328835e+00
9.200000000000002620e-01,2.778685735796184275e+00
9.600000000000002975e-01,2.769940872579233826e+00
1.000000000000000222e+00,2.754290851220403624e+00
1.040000000000000258e+00,2.766982492647866110e+00
1.080000000000000293e+00,2.779890510330560005e+00
1.120000000000000329e+00,2.789882328019622548e+00
1.160000000000000364e+00,2.797261127192484764e+00
1.200000000000000400e+00,2.802282343851047131e+00
1.240000000000000435e+00,2.805163248856217706e+00
1.280000000000000471e+00,2.806091017914784658e+00
1.320000000000000506e+00,2.843520302091370411e+00
1.360000000000000542e+00,2.910935430432932236e+00
1.400000000000000577e+00,2.964082350762812013e+00
1.440000000000000613e+00,3.004772975020532755e+00
1.480000000000000648e+00,3.034465690969661011e+00
1.520000000000000684e+00,3.054341896179714411e+00
1.560000000000000719e+00,3.065364374382287593e+00
1.600000000000000755e+00,3.068322478694152977e+00
1.640000000000000790e+00,3.063867511029265245e+00
1.680000000000000826e+00,3.052540632480877036e+00
1.720000000000000862e+00,3.034794930631797172e+00
1.760000000000000897e+00,3.011012795715924284e+00
1.800000000000000933e+00,2.981519445577365701e+00
1.840000000000000968e+00,2.946593240131026192e+00
1.880000000000001004e+00,2.906473304964311666e+00
1.920000000000001039e+00,2.872682373592724048e+00
1.960000000000001075e+00,2.874601290046772561e+00
2.000000000000000888e+00,2.874626215454178180e+00
2.040000000000000924e+00,2.872913203520095493e+00
2.080000000000000959e+00,2.878257116889162859e+00
2.120000000000000995e+00,2.946636017533638352e+00
2.160000000000001030e+00,3.001156500550703043e+00
2.200000000000001066e+00,3.043442449914717685e+00
2.240000000000001101e+00,3.074835275994853845e+00
2.280000000000001137e+00,3.096445244282627129e+00
2.320000000000001172e+00,3.109193249378595425e+00
2.360000000000001208e+00,3.113845082785221763e+00
2.400000000000001243e+00,3.111039699214511955e+00
2.440000000000001279e+00,3.101312579965629368e+00
2.480000000000001315e+00,3.085114994327316396e+00
2.520000000000001350e+00,3.062829749108754385e+00
2.560000000000001386e+00,3.034783874798783643e+00
2.600000000000001421e+00,3.001258609707790015e+00
2.640000000000001457e+00,2.962496997908147023e+00
2.680000000000001492e+00,2.918709401570279027e+00
2.720000000000001528e+00,2.885287506071183117e+00
2.760000000000001563e+00,2.885790321905119526e+00
2.800000000000001599e+00,2.884512111634716547e+00
2.840000000000001634e+00,2.881595197477015091e+00
2.880000000000001670e+00,2.920657647894909559e+00
2.920000000000001705e+00,2.981885279113843268e+00
2.960000000000001741e+00,3.030175030214188325e+00
3.000000000000001776e+00,3.066975134712762951e+00
3.040000000000001812e+00,3.093487850007317519e+00
3.080000000000001847e+00,3.110712549541734262e+00
3.120000000000001883e+00,3.119481377808369871e+00
3.160000000000001918e+00,3.120488906204837321e+00
3.200000000000001954e+00,3.114316860650934160e+00
3.240000000000001990e+00,3.101454711498547567e+00
3.280000000000002025e+00,3.082316709759780338e+00
3.320000000000002061e+00,3.057255809617931419e+00
3.360000000000002096e+00,3.026574824813842213e+00
3.400000000000002132e+00,2.990535115515765341e+00
3.440000000000002167e+00,2.949363082914391754e+00
3.480000000000002203e+00,2.903254751916758636e+00
3.520000000000002238e+00,2.887459538727675579e+00
3.560000000000002274e+00,2.887103021732986718e+00
3.600000000000002309e+00,2.885033991460101532e+00
3.640000000000002345e+00,2.881387095932677056e+00
3.680000000000002380e+00,2.950066726603335354e+00
3.720000000000002416e+00,3.005458813786223260e+00
3.760000000000002451e+00,3.048586772800266687e+00
3.800000000000002487e+00,3.080782201631112827e+00
3.840000000000002522e+00,3.103151754218018255e+00
3.880000000000002558e+00,3.116616381045069772e+00
3.920000000000002593e+00,3.121943939899331610e+00
3.960000000000002629e+00,3.119776403285509758e+00
4.000000000000002665e+00,3.110652574099898260e+00
4.040000000000002700e+00,3.095026982899387491e+00
4.080000000000002736e+00,3.073285467804055315e+00
4.120000000000002771e+00,3.045757821624917483e+00
4.160000000000002807e+00,3.012727820291541292e+00
4.200000000000002842e+00,2.974440912403842674e+00
4.240000000000002878e+00,2.931109842525440712e+00
4.280000000000002913e+00,2.887109311734580075e+00
4.320000000000002949e+00,2.887791793758648140e+00
4.360000000000002984e+00,2.886677702478582574e+00
4.400000000000003020e+00,2.883911037076899220e+00
4.440000000000003055e+00,2.912329187253455132e+00
4.480000000000003091e+00,2.975456027698204053e+00
4.520000000000003126e+00,3.025437620149784124e+00
4.560000000000003162e+00,3.063754653723972154e+00
4.600000000000003197e+00,3.091637010086632387e+00
4.640000000000003233e+00,3.110107432718674403e+00
4.680000000000003268e+00,3.120017712046497138e+00
4.720000000000003304e+00,3.122078824952737364e+00
4.760000000000003340e+00,3.116886105487175485e+00
4.800000000000003375e+00,3.104940244410638428e+00
4.840000000000003411e+00,3.086664707434195520e+00
4.880000000000003446e+00,3.062420015502926418e+00
4.920000000000003482e+00,3.032515235319028335e+00
4.960000000000003517e+00,2.997216974754508101e+00
5.000000000000003553e+00,2.956756156425257132e+00
5.040000000000003588e+00,2.911332844538087272e+00
5.080000000000003624e+00,2.887672072252374988e+00
5.120000000000003659e+00,2.887570388323851489e+00
5.160000000000003695e+00,2.885735624104441399e+00
5.200000000000003730e+00,2.882304639239407607e+00
5.240000000000003766e+00,2.940908324122304407e+00
5.280000000000003801e+00,2.998247000814249219e+00
5.320000000000003837e+00,3.043104031822917221e+00
5.360000000000003872e+00,3.076847486905442963e+00
5.400000000000003908e+00,3.100614251788940123e+00
5.440000000000003944e+00,3.115350302103667701e+00
5.480000000000003979e+00,3.121844158146057424e+00
5.520000000000004015e+00,3.120754793301081520e+00
5.560000000000004050e+00,3.112634944134143211e+00
5.600000000000004086e+00,3.097950522834697296e+00
5.640000000000004121e+00,3.077096652332912186e+00
5.680000000000004157e+00,3.050410721034445771e+00
5.720000000000004192e+00,3.018182777900086933e+00
5.760000000000004228e+00,2.980663549904111420e+00
5.800000000000004263e+00,2.938070353490395803e+00
5.840000000000004299e+00,2.890591180818532280e+00
5.880000000000004334e+00,2.887856873821359471e+00
5.920000000000004370e+00,2.887000704107844484e+00
5.960000000000004405e+00,2.884471582505785392e+00
6.000000000000004441e+00,2.901659886369067465e+00
6.040000000000004476e+00,2.966902190409314244e+00
6.080000000000004512e+00,3.018752942116588400e+00
6.120000000000004547e+00,3.058734596326264210e+00
6.160000000000004583e+00,3.088111546635019522e+00
6.200000000000004619e+00,3.107935052043313107e+00
6.240000000000004654e+00,3.119080431772943030e+00
6.280000000000004690e+00,3.122278027386720112e+00
6.320000000000004725e+00,3.118139056675811815e+00
6.360000000000004761e+00,3.107177193291779105e+00
6.400000000000004796e+00,3.089826488497514845e+00
6.440000000000004832e+00,3.066456096493332950e+00
6.480000000000004867e+00,3.037382162644405525e+00
6.520000000000004903e+00,3.002877174832143226e+00
6.560000000000004938e+00,2.963177052582487647e+00
6.600000000000004974e+00,2.918486247563965463e+00
6.640000000000005009e+00,2.887536442031102268e+00
6.680000000000005045e+00,2.887707548242481437e+00
6.720000000000005080e+00,2.886123597051533096e+00
6.760000000000005116e+00,2.882923877827515469e+00
6.800000000000005151e+00,2.931128840447843942e+00
6.840000000000005187e+00,2.990476218012688037e+00
6.880000000000005222e+00,3.037113744851207997e+00
6.920000000000005258e+00,3.072448159671314016e+00
6.960000000000005294e+00,3.097648289778749842e+00
7.000000000000005329e+00,3.113686481029631636e+00
7.040000000000005365e+00,3.121372984753470803e+00
7.080000000000005400e+00,3.121384630451352393e+00
7.120000000000005436e+00,3.114288775694454614e+00
7.160000000000005471e+00,3.100563266423620234e+00
7.200000000000005507e+00,3.080612951107028152e+00
7.240000000000005542e+00,3.054783160930057306e+00
7.280000000000005578e+00,3.023370485527291152e+00
7.320000000000005613e+00,2.986631130049907767e+00
7.360000000000005649e+00,2.944787125277532169e+00
7.400000000000005684e+00,2.898030669250179159e+00
7.440000000000005720e+00,2.887833410809641066e+00
7.480000000000005755e+00,2.887240661804071351e+00
7.520000000000005791e+00,2.884954069711980651e+00
7.560000000000005826e+00,2.890596881547402575e+00
7.600000000000005862e+00,2.958000383510395181e+00
7.640000000000005898e+00,3.011758174830589496e+00
7.680000000000005933e+00,3.053435913175697181e+00
7.720000000000005969e+00,3.084333666341272817e+00
7.760000000000006004e+00,3.105532156977588443e+00
7.800000000000006040e+00,3.117931012261784929e+00
7.840000000000006075e+00,3.122280581953752687e+00
7.880000000000006111e+00,3.119208499867774265e+00
7.920000000000006146e+00,3.109241861435087628e+00
7.960000000000006182e+00,3.092825662154247368e+00
8.000000000000005329e+00,3.070337978032888770e+00
8.040000000000004476e+00,3.042102259696065403e+00
8.080000000000003624e+00,3.008397046887587578e+00
8.120000000000002771e+00,2.969463380075225700e+00
8.160000000000001918e+00,2.925510181684096267e+00
8.200000000000001066e+00,2.887349874549869355e+00
8.240000000000000213e+00,2.887797687584267692e+00
8.279999999999999361e+00,2.886468022910605669e+00
8.319999999999998508e+00,2.883502694136844013e+00
8.359999999999997655e+00,2.921017217662239318e+00
8.399999999999996803e+00,2.982412067641377007e+00
8.439999999999995950e+00,3.030862266352798429e+00
8.479999999999995097e+00,3.067814379605486863e+00
8.519999999999994245e+00,3.094470129001592795e+00
8.559999999999993392e+00,3.111829019624451576e+00
8.599999999999992539e+00,3.120723690515774251e+00
8.639999999999991687e+00,3.121849374987498038e+00
8.679999999999990834e+00,3.115788507530957929e+00
8.719999999999989981e+00,3.103031244684139267e+00
8.759999999999989129e+00,3.083992467836473850e+00
8.799999999999988276e+00,3.059025696519128701e+00
8.839999999999987423e+00,3.028434251385789366e+00
8.879999999999986571e+00,2.992479957128772128e+00
8.919999999999985718e+00,2.951389657615614226e+00
8.959999999999984865e+00,2.905359819702631796e+00
8.999999999999984013e+00,2.887767171506396835e+00
9.039999999999983160e+00,2.887441263373531797e+00
9.079999999999982307e+00,2.885400237940899615e+00
9.119999999999981455e+00,2.881779003468487588e+00
9.159999999999980602e+00,2.948790152804981801e+00
9.199999999999979750e+00,3.004490292245641569e+00
9.239999999999978897e+00,3.047893434156897285e+00
9.279999999999978044e+00,3.080336364045642483e+00
9.319999999999977192e+00,3.102930131172463746e+00
9.359999999999976339e+00,3.116599388474945442e+00
9.399999999999975486e+00,3.122115093128407182e+00
9.439999999999974634e+00,3.120121795306317836e+00
9.479999999999973781e+00,3.111160428210865803e+00
9.519999999999972928e+00,3.095687274053830151e+00
9.559999999999972076e+00,3.074089607972389615e+00
9.599999999999971223e+00,3.046698404913222191e+00
9.639999999999970370e+00,3.013798423507338953e+00
9.679999999999969518e+00,2.975635946289209244e+00
9.719999999999968665e+00,2.932424448107475712e+00
9.759999999999967812e+00,2.887119424219271480e+00
9.799999999999966960e+00,2.887847575696895319e+00
9.839999999999966107e+00,2.886775397149236255e+00
9.879999999999965254e+00,2.884047317543632971e+00
9.919999999999964402e+00,2.910574776801709618e+00
9.959999999999963549e+00,2.974056315699868946e+00
9.999999999999962697e+00,3.024351730978146691e+00
1.003999999999996184e+01,3.062948578929535870e+00
1.007999999999996099e+01,3.091082434181238625e+00
1.011999999999996014e+01,3.109780756285154268e+00
1.015999999999995929e+01,3.119899234908793062e+00
1.019999999999995843e+01,3.122152061030014636e+00
1.023999999999995758e+01,3.117137208059915565e+00
1.027999999999995673e+01,3.105357525995408707e+00
1.031999999999995588e+01,3.087238242457360116e+00
1.035999999999995502e+01,3.063141316666701641e+00
1.039999999999995417e+01,3.033376996169963036e+00
1.043999999999995332e+01,2.998212871709434069e+00
1.047999999999995246e+01,2.957880703597631111e+00
1.051999999999995161e+01,2.912581294345820027e+00
1.055999999999995076e+01,2.887658825067191515e+00
1.059999999999994991e+01,2.887603185866410627e+00
1.063999999999994905e+01,2.885810762279149344e+00
1.067999999999994820e+01,2.882418819829553058e+00
1.071999999999994735e+01,2.939266882343765985e+00
1.075999999999994650e+01,2.996945573202069113e+00
1.079999999999994564e+01,3.042104175701204838e+00
1.083999999999994479e+01,3.076117262978122824e+00
1.087999999999994394e+01,3.100127095215377437e+00
1.091999999999994309e+01,3.115084086400969454e+00
1.095999999999994223e+01,3.121780414926902836e+00
1.099999999999994138e+01,3.120878060097567186e+00
1.103999999999994053e+01,3.112932219728378413e+00
1.107999999999993967e+01,3.098410814879372310e+00
1.111999999999993882e+01,3.077710605846320391e+00
1.115999999999993797e+01,3.051170318837506557e+00
1.119999999999993712e+01,3.019081105472814386e+00
1.123999999999993626e+01,2.981694617713692708e+00
1.127999999999993541e+01,2.939228969811054526e+00
1.131999999999993456e+01,2.891872867637530931e+00
1.135999999999993371e+01,2.887856899228687269e+00
1.139999999999993285e+01,2.887045453747205670e+00
1.143999999999993200e+01,2.884557516261153864e+00
1.147999999999993115e+01,2.899795293931184403e+00
1.151999999999993030e+01,2.965403818582551310e+00
1.155999999999992944e+01,3.017577885478530675e+00
1.159999999999992859e+01,3.057847238519087796e+00
1.163999999999992774e+01,3.087482290937145990e+00
1.167999999999992689e+01,3.107539273588116657e+00
1.171999999999992603e+01,3.118897607318146470e+00
1.175999999999992518e+01,3.122291009332897715e+00
1.179999999999992433e+01,3.118333466512758889e+00
1.183999999999992347e+01,3.107540916128769481e+00
1.187999999999992262e+01,3.090349255076887403e+00
1.191999999999992177e+01,3.067129142349898530e+00
1.195999999999992092e+01,3.038197956107481446e+00
1.199999999999992006e+01,3.003829206619265335e+00
1.203999999999991921e+01,2.964259680042431455e+00
1.207999999999991836e+01,2.919694586415438664e+00
1.211999999999991751e+01,2.887507861498363582e+00
1.215999999999991665e+01,2.887725980358666789e+00
1.219999999999991580e+01,2.886185241471622476e+00
1.223999999999991495e+01,2.883025359079951500e+00
1.227999999999991410e+01,2.929424679080952387e+00
1.231999999999991324e+01,2.989119129030321176e+00
1.235999999999991239e+01,3.036064077682524953e+00
1.239999999999991154e+01,3.071672986630467506e+00
1.243999999999991068e+01,3.097120235955500789e+00
1.247999999999990983e+01,3.113382755924085643e+00
1.251999999999990898e+01,3.121274576356199759e+00
1.255999999999990813e+01,3.121475632267667777e+00
1.259999999999990727e+01,3.114555824825622210e+00
1.263999999999990642e+01,3.100995076541011031e+00
1.267999999999990557e+01,3.081199928247876585e+00
1.271999999999990472e+01,3.055517092760894116e+00
1.275999999999990386e+01,3.024244296312716074e+00
1.279999999999990301e+01,2.987638694276228080e+00
1.283999999999990216e+01,2.945923132943782718e+00
1.287999999999990131e+01,2.899290535473014074e+00
1.291999999999990045e+01,2.887825146615362826e+00
1.295999999999989960e+01,2.887277737493960217e+00
1.299999999999989875e+01,2.885032877819483588e+00
1.303999999999989790e+01,2.888672123811382164e+00
1.307999999999989704e+01,2.956449061541974288e+00
1.311999999999989619e+01,3.010536148649464394e+00
1.315999999999989534e+01,3.052506548968466404e+00
1.319999999999989448e+01,3.083666527891054443e+00
1.323999999999989363e+01,3.105101926861955519e+00
1.327999999999989278e+01,3.117716596753218994e+00
1.331999999999989193e+01,3.122264364770266809e+00
1.335999999999989107e+01,3.119375718753630622e+00
1.339999999999989022e+01,3.109580088329835235e+00
1.343999999999988937e+01,3.093324372707705550e+00
1.347999999999988852e+01,3.070988199701560006e+00
1.351999999999988766e+01,3.042896289865275605e+00
1.355999999999988681e+01,3.009328233652212248e+00
1.359999999999988596e+01,2.970525958720429571e+00
1.363999999999988511e+01,2.926699159762861768e+00
1.367999999999988425e+01,2.887313718265964724e+00
1.371999999999988340e+01,2.887809150353952248e+00
1.375999999999988255e+01,2.886523231389489297e+00
1.379999999999988169e+01,2.883598215535172926e+00
1.383999999999988084e+01,2.919257257195567945e+00
1.387999999999987999e+01,2.981005738454605591e+00
1.391999999999987914e+01,3.029768801373819542e+00
1.395999999999987828e+01,3.066999928758832539e+00
1.399999999999987743e+01,3.093906555075761844e+00
1.403999999999987658e+01,3.111492902725998988e+00
1.407999999999987573e+01,3.120595500141504886e+00
