t; tip_pos; V_tip
0;130;1.38448
0.4;130.554;1.24879
0.8;130.999;0.989262
1.2;131.345;0.803547
1.6;131.642;0.750862
2;131.946;0.72643
2.4;132.223;0.641028
2.8;132.459;0.57708
3.2;132.685;0.572645
3.6;132.917;0.572641
4;133.143;0.527782
4.4;133.339;0.474782
4.8;133.523;0.455505
5.2;133.703;0.457722
5.6;133.889;0.466515
6;134.077;0.44465
6.4;134.245;0.40464
6.8;134.4;0.382615
7.2;134.551;0.374547
7.6;134.7;0.377511
8;134.853;0.389068
8.4;135.011;0.382605
8.8;135.159;0.355099
9.2;135.295;0.333452
9.6;135.425;0.321301
10;135.552;0.316932
10.4;135.679;0.319203
10.8;135.808;0.327408
11.2;135.941;0.333422
11.6;136.074;0.321027
12;136.198;0.299654
12.4;136.314;0.285793
12.8;136.426;0.277681
13.2;136.536;0.274537
13.6;136.646;0.27581
14;136.757;0.281139
14.4;136.871;0.290312
14.8;136.989;0.290845
15.2;137.104;0.276958
15.6;137.211;0.261951
16;137.313;0.251779
16.4;137.412;0.245491
16.8;137.51;0.242665
17.2;137.606;0.242992
17.6;137.704;0.246256
18;137.803;0.252323
18.4;137.906;0.260551
18.8;138.012;0.258823
19.2;138.113;0.246075
19.6;138.209;0.234712
20;138.301;0.226498
20.4;138.39;0.221108
20.8;138.478;0.218283
21.2;138.565;0.21783
21.6;138.652;0.219606
22;138.74;0.223514
22.4;138.831;0.229503
22.8;138.924;0.236547
23.2;139.02;0.234485
23.6;139.111;0.223558
24;139.199;0.21414
24.4;139.283;0.207093
24.8;139.364;0.202206
25.2;139.444;0.199308
25.6;139.524;0.198266
26;139.603;0.198978
26.4;139.683;0.201374
26.8;139.764;0.205408
27.2;139.847;0.21106
27.6;139.933;0.217296
28;140.021;0.215473
28.4;140.105;0.206102
28.8;140.186;0.197988
29.2;140.264;0.191733
29.6;140.339;0.187193
30;140.414;0.184247
30.4;140.487;0.182798
30.8;140.56;0.182773
31.2;140.633;0.184114
31.6;140.707;0.186784
32;140.782;0.190762
32.4;140.86;0.196045
32.8;140.939;0.201657
33.2;141.021;0.200103
33.6;141.099;0.191944
34;141.175;0.184806
34.4;141.247;0.179171
34.8;141.318;0.174934
35.2;141.387;0.172006
35.6;141.456;0.170316
36;141.523;0.169805
36.4;141.591;0.17043
36.8;141.66;0.17216
37.2;141.729;0.174974
37.6;141.8;0.178864
38;141.872;0.183833
38.4;141.947;0.188813
38.8;142.023;0.187235
39.2;142.097;0.179947
39.6;142.167;0.173619
40;142.235;0.168531
40.4;142.302;0.164606
40.8;142.367;0.161777
41.2;142.431;0.159988
41.6;142.495;0.159195
42;142.559;0.159363
42.4;142.623;0.160465
42.8;142.687;0.162484
43.2;142.753;0.165411
43.6;142.819;0.169244
44;142.888;0.173992
44.4;142.959;0.178129
44.8;143.031;0.176044
45.2;143.1;0.169358
45.6;143.166;0.163757
46;143.231;0.159197
46.4;143.293;0.155617
46.8;143.355;0.152967
47.2;143.416;0.151204
47.6;143.476;0.150292
48;143.536;0.150203
48.4;143.596;0.150917
48.8;143.657;0.152419
49.2;143.718;0.154699
49.6;143.78;0.157756
50;143.844;0.161593
50.4;143.91;0.16622
50.8;143.977;0.16896
51.2;144.045;0.165777
51.6;144.11;0.159686
52;144.173;0.154775
52.4;144.234;0.150746
52.8;144.293;0.147553
53.2;144.352;0.145157
53.6;144.409;0.143524
54;144.467;0.142626
54.4;144.524;0.142442
54.8;144.581;0.142954
55.2;144.638;0.14415
55.6;144.696;0.146024
56;144.755;0.148573
56.4;144.815;0.151798
56.8;144.876;0.155707
57.2;144.939;0.160188
57.6;145.004;0.160462
58;145.068;0.15566
58.4;145.129;0.150629
